Norme du clavier,Description,Availability,Processeur,Carte Graphique,Price,Marque,Capacité RAM,Taille de la mémoire,Gamme processeur,Taille de l'écran,Clavier,Garantie,SSD,Reference,Status,Système d'exploitation,Chipset graphique,Ecran,Type de Processeur
,"MSI VECTOR 16 HX A14VHG-811MA I9-14900HX/32GB DDR5/2TB SSD/RTX 4080 12GB/16"" 240Hz/Win11/W BAG",Produit en stock,,,"34 999,00 MAD",MSI,32 Go DDR5,,,,rétroéclairé,12 Mois,2TB NVMe PCIe,4711377271844,NEUF,Windows 11,NVIDIA GeForce RTX 4080 12GB GDDR6,"16"" (2560x1600)",Intel i9-14900HX (5.8GHz Turbo - 8 Performance-Cores + 16 Efficient-Cores - 32 Threads - Cache 36 Mo)
,"MSI VECTOR 16 HX A14VGG-426MA Intel i9-14900HX/32GB DDR5/1TB SSD/RTX 4070 8GB/16"" 240Hz/Win11",Produit en stock,,,"29 999,00 MAD",MSI,32 Go DDR5,,,,rétroéclairé,12 Mois,1TB NVMe PCIe,4711377271783,NEUF,Windows 11,NVIDIA GeForce RTX 4070 8GB GDDR6,"16"" (2560x1600)",Intel i9-14900HX (5.8GHz Turbo - 8 Performance-Cores + 16 Efficient-Cores - 32 Threads - Cache 36 Mo)
AZERTY,"Asus ROG Zephyrus G16 GU605MZ-Q37W Intel Core Ultra 9 185H/32GB DDR5/2TB SSD/RTX 4080 TGP 115W/16"" 2.5K OLED",Produit en stock,,,"34 000,00 MAD",ASUS,32 Go DDR5,,,,,12 Mois,2TB NVMe PCIe,GU605MZ-Q37W,NEUF,,NVIDIA GeForce RTX 4080 12GB GDDR6,,Intel Core Ultra 9 185H
,"Dell XPS 16 9640 - Intel Core Ultra 9 185H/ 32Go DDR5 /1TB SSD/RTX 4070 8GB/16.3"" OLED UHD",Produit en stock,Intel Core Ultra 9-185H ( 6 Performance-Cores 5.1 GHz Turbo + 10 Efficient-Cores 2.8 / 3.8 Turbo - 22 Threads - Cache 24 Mo),NVIDIA GeForce RTX 4070 8GB GDDR6X,"30 990,00 MAD",,,32 Go,,"16,3 Pouces",,12 Mois,1To,Dell-XPS16-9640,NEUF,Windows 11 Home,,,
,Lenovo Legion Slim 5 16ARP9 R7 7435HS/16GB/512GB SSD/RTX4070/16'',Produit en stock,,,"19 999,00 MAD",Lenovo,16 Go DDR5,,,,,12 Mois,512GB NVMe PCIe,0198154644727,NEUF,,NVIDIA GeForce RTX 4070 8GB GDDR6,16'' WQXGA,R7 7435HS
,Razer Blade 18 RZ09-05092FM4 i9-14900HX/32GB DDR5/2TB SSD/RTX4090 16GB/18'' 4K 200Hz,Produit en stock,,,"46 990,00 MAD",,32 Go DDR5,,,,AZERTY,12 Mois,2TB NVMe PCIe,RZ09-05092FM4,NEUF,Windows 11,NVIDIA GeForce RTX 4090 16GB GDDR6,,Intel i9-14900HX (5.8GHz Turbo - 8 Performance-Cores + 16 Efficient-Cores - 32 Threads - Cache 36 Mo)
AZERTY,"Asus ROG Zephyrus G14-403UI-Q24W AMD Ryzen 9 8945HS/32GB DDR5/1TB SSD/RTX 4070 TGP 90W/14"" 3K OLED (SANS EMBALLAGE)",Produit en stock,,,"24 990,00 MAD",ASUS,32 Go DDR5,,,,,12 Mois,1TB NVMe PCIe,G14-403UI-Q24W,NEUF,Windows 11,NVIDIA GeForce RTX 4070 TGP 90W 8GB GDDR6,,AMD Ryzen 9 8945HS (Octo-Core 4 GHz / 5.2 GHz Turbo - 16 Threads - Cache 16 Mo)
,"Gigabyte Aorus 15 BSF-73ES754SH i7-13700H/16GB DDR5/1TB SSD/RTX4070 8GB/15.6"" 2K 165Hz W11H",Produit en stock,,,"18 990,00 MAD",Gigabyte,16 Go DDR5,,,,,12 Mois,1TB NVMe PCIe,4719331992262,NEUF,Windows 11,NVIDIA GeForce RTX 4070 8GB GDDR6,"15.6"" QHD (2560x1440)",Intel Core i7-13700H (6 Performance-Cores 5 GHz Turbo + 8 Efficient-Cores 3.7 GHz Turbo - 20 Threads - Cache 24 Mo)
,Gigabyte G5 MF5-52ES353SD i5 13500H/16GB DDR5/512GB SSD/RTX4050 6GB/15.6'',Produit en stock,,,"10 990,00 MAD",Gigabyte,16 Go DDR5,,,,,12 Mois,512GB NVMe PCIe,4719331856786,NEUF,FreeDOS,NVIDIA GeForce RTX 4050 6GB GDDR6,"15.6"" FHD (1920x1080)",Intel Core i5-13500H (4 Performance-Cores 4.7 GHz Turbo + 8 Efficient-Cores 3.5 GHz Turbo - 16 Threads - Cache 18 Mo)
,"MSI Titan 18 HX A14VIG-006FR i9-14900HX/64GB/2TB SSD/RTX4090 16GB/ 18"" (SANS EMBALLAGE)",Produit en stock,Intel core i9,,"47 999,00 MAD",MSI,64GB DDR5,,,,,12 Mois,2TB,18 HX A14VIG-006FR,NEUF,,NVIDIA GeForce RTX 4090 16GB,"IPS de 18""",Intel Core i9-14900HX (8 Performance-Cores 5.8 GHz Turbo + 16 Efficient-Cores - 32 Threads)
